"Sentence","Plausibility","Score","ItemNum"
"The skipper assembled the sailboat.","Plausible",3.8,306
"The skipper assembled the bicycle.","Implausible",2.15,306
"The smuggler sold the weapon.","Plausible",6.5,307
"The smuggler sold the flower.","Implausible",2.4,307
"The snowboarder flipped the board.","Plausible",6.6,308
"The snowboarder flipped the bike.","Implausible",3.45,308
"The soldier carried the rifle.","Plausible",7,309
"The soldier carried the ball.","Implausible",1.7,309
"The soldier celebrated the victory.","Plausible",5.2,310
"The soldier celebrated the graduation.","Implausible",3.9,310
"The soldier checked the rifle.","Plausible",6.85,311
"The soldier checked the burner.","Implausible",2.2,311
"The soldier crossed the river.","Plausible",4.5,312
"The soldier crossed the stage.","Implausible",2.45,312
"The soldier dug the trench.","Plausible",5.15,313
"The soldier dug the pool.","Implausible",2.5,313
"The soldier fought the enemy.","Plausible",5.95,314
"The soldier fought the cancer.","Implausible",3.1,314
"The soldier gathered the ammunition.","Plausible",6.25,315
"The soldier gathered the ball.","Implausible",1.75,315
"The soldier gathered the flag.","Plausible",4.7,316
"The soldier gathered the grass.","Implausible",2.75,316
"The soldier heard the command.","Plausible",6.1,317
"The soldier heard the poem.","Implausible",3.1,317
"The soldier held the flag.","Plausible",5.2,318
"The soldier held the comb.","Implausible",3.65,318
"The soldier hung the rifle.","Plausible",5.8,319
"The soldier hung the picture.","Implausible",3.2,319
"The soldier reached the trench.","Plausible",6.25,320
"The soldier reached the supermarket.","Implausible",3,320
"The soldier released the prisoner.","Plausible",4.3,321
"The soldier released the film.","Implausible",1.9,321
"The soldier threw the bomb.","Plausible",5.55,322
"The soldier threw the ball.","Implausible",2.3,322
"The soldier used the knife.","Plausible",5.05,323
"The soldier used the brush.","Implausible",3.8,323
"The soldier wore the helmet.","Plausible",6.5,324
"The soldier wore the jeans.","Implausible",3.85,324
"The soldier wore the uniform.","Plausible",6.9,325
"The soldier wore the pajamas.","Implausible",3.5,325
"The speaker entertained the audience.","Plausible",5.9,326
"The speaker entertained the dog.","Implausible",3.15,326
"The spectator bought the ticket.","Plausible",6.45,327
"The spectator bought the car.","Implausible",2.8,327
"The spectator enjoyed the game.","Plausible",6.05,328
"The spectator enjoyed the breakfast.","Implausible",4.25,328
"The spectator heard the speech.","Plausible",4.4,329
"The spectator heard the horn.","Implausible",4.75,329
"The spectator watched the game.","Plausible",6.6,330
"The spectator watched the bird.","Implausible",5.25,330
"The speleologist examined the cave.","Plausible",6,331
"The speleologist examined the book.","Implausible",3.65,331
"The spy passed the information.","Plausible",6.35,332
"The spy passed the frisbee.","Implausible",1.55,332
"The student began the trip.","Plausible",3.5,333
"The student began the match.","Implausible",3.5,333
"The student celebrated the graduation.","Plausible",6.7,334
"The student celebrated the marriage.","Implausible",3.45,334
"The student completed the project.","Plausible",5.9,335
"The student completed the marathon.","Implausible",3.65,335
"The student drank the beer.","Plausible",4.6,336
"The student drank the gasoline.","Implausible",1.6,336
"The student drank the coffee.","Plausible",4.95,337
"The student drank the milk.","Implausible",4.9,337
"The student enjoyed the beer.","Plausible",4.7,338
"The student enjoyed the marriage.","Implausible",3.6,338
"The student heard the lecture.","Plausible",6.75,339
"The student heard the command.","Implausible",4.45,339
"The student passed the exam.","Plausible",6.35,340
"The student passed the river.","Implausible",2.95,340
"The student read the book.","Plausible",6.6,341
"The student read the hand.","Implausible",2.4,341
"The student sent the email.","Plausible",6.1,342
"The student sent the bomb.","Implausible",1.2,342
"The student threw the frisbee.","Plausible",4.7,343
"The student threw the garbage.","Implausible",3.25,343
"The student used the computer.","Plausible",6.35,344
"The student used the saw.","Implausible",2.9,344
"The student wore the glasses.","Plausible",5.775,345
"The student wore the armor.","Implausible",3.05,345
"The surfer caught the wave.","Plausible",7,346
"The surfer caught the baseball.","Implausible",1.75,346
"The surfer flipped the board.","Plausible",5,347
"The surfer flipped the pancake.","Implausible",2.55,347
"The surfer grabbed the board.","Plausible",5.3,348
"The surfer grabbed the frisbee.","Implausible",3.45,348
"The surfer rode the wave.","Plausible",6.2,349
"The surfer rode the camel.","Implausible",1.45,349
"The surfer wore the sunglasses.","Plausible",5.95,350
"The surfer wore the tie.","Implausible",2,350
"The surfer wore the swimsuit.","Plausible",6.25,351
"The surfer wore the tuxedo.","Implausible",2.1,351
"The surgeon examined the patient.","Plausible",6.05,352
"The surgeon examined the car.","Implausible",1.2,352
"The surgeon performed the surgery.","Plausible",6.85,353
"The surgeon performed the dance.","Implausible",2.4,353
"The surgeon used the lancet.","Plausible",4.95,354
"The surgeon used the rifle.","Implausible",1.9,354
"The sweeper cleaned the street.","Plausible",6.5,355
"The sweeper cleaned the window.","Implausible",3.9,355
"The swimmer wore the goggles.","Plausible",6.2,356
"The swimmer wore the cloak.","Implausible",3.1,356
"The tailor sewed the dress.","Plausible",6.55,357
"The tailor sewed the wound.","Implausible",1.6,357
"The teacher explained the exercise.","Plausible",6.9,358
"The teacher explained the tactic.","Implausible",4.55,358
"The teacher gave the homework.","Plausible",6.85,359
"The teacher gave the drug.","Implausible",1.4,359
"The teacher helped the child.","Plausible",6.1,360
"The teacher helped the patient.","Implausible",1.95,360
"The teacher lent the book.","Plausible",6.15,361
"The teacher lent the gun.","Implausible",1.85,361
"The teacher used the blackboard.","Plausible",5.95,362
"The teacher used the knife.","Implausible",2.85,362
"The teenager heard the music.","Plausible",6.4,363
"The teenager heard the lecture.","Implausible",4.65,363
"The terrorist released the hostage.","Plausible",3.45,364
"The terrorist released the book.","Implausible",1.8,364
"The thief grabbed the money.","Plausible",5,365
"The thief grabbed the banana.","Implausible",3.7,365
"The tourist read the map.","Plausible",6.4,366
"The tourist read the bible.","Implausible",3,366
"The tourist rode the camel.","Plausible",4.55,367
"The tourist rode the skates.","Implausible",3.7,367
"The tourist visited the museum.","Plausible",5.95,368
"The tourist visited the patient.","Implausible",3,368
"The traveller checked the bag.","Plausible",6,369
"The traveller checked the groceries.","Implausible",4.2,369
"The traveller checked the watch.","Plausible",4.4,370
"The traveller checked the team.","Implausible",3,370
"The traveller handed the bag.","Plausible",5.8,371
"The traveller handed the screwdriver.","Implausible",2.1,371
"The truck hit the car.","Plausible",4,372
"The truck hit the bag.","Implausible",3.1,372
"The truck plowed the snow.","Plausible",4.65,373
"The truck plowed the garden.","Implausible",2.3,373
"The undertaker dug the grave.","Plausible",4.15,374
"The undertaker dug the trench.","Implausible",3.2,374
"The usurer lent the money.","Plausible",5.2,375
"The usurer lent the toy.","Implausible",1.9,375
"The vandal sprayed the paint.","Plausible",6.2,376
"The vandal sprayed the perfume.","Implausible",1.85,376
"The veterinarian examined the dog.","Plausible",6.85,377
"The veterinarian examined the plant.","Implausible",2.2,377
"The violinist played the violin.","Plausible",6.9,378
"The violinist played the trumpet.","Implausible",3,378
"The violinist wore the tuxedo.","Plausible",5.9,379
"The violinist wore the helmet.","Implausible",3.05,379
"The volunteer brought the food.","Plausible",6.1,380
"The volunteer brought the hatchet.","Implausible",1.75,380
"The waiter brought the glass.","Plausible",6.8,381
"The waiter brought the guitar.","Implausible",1.55,381
"The waiter carried the tray.","Plausible",6.35,382
"The waiter carried the rifle.","Implausible",1.55,382
"The waiter cleared the bar.","Plausible",6.05,383
"The waiter cleared the road.","Implausible",2.9,383
"The waiter cleared the table.","Plausible",6.25,384
"The waiter cleared the tube.","Implausible",2.6,384
"The waiter cut the cake.","Plausible",4.85,385
"The waiter cut the hair.","Implausible",1.45,385
"The waiter delivered the drink.","Plausible",6.35,386
"The waiter delivered the speech.","Implausible",1.6,386
"The waiter fetched the water.","Plausible",6.2,387
"The waiter fetched the ball.","Implausible",1.85,387
"The waiter held the bottle.","Plausible",6.15,388
"The waiter held the flag.","Implausible",3.5,388
"The waiter mixed the drink.","Plausible",5.4,389
"The waiter mixed the cement.","Implausible",1.5,389
"The waiter opened the bottle.","Plausible",6.25,390
"The waiter opened the sarcophagus.","Implausible",1.35,390
"The waiter poured the wine.","Plausible",6.6,391
"The waiter poured the gasoline.","Implausible",1.4,391
"The waiter prepared the drink.","Plausible",6.4,392
"The waiter prepared the bomb.","Implausible",1.1,392
"The witness explained the circumstances.","Plausible",5.6,393
"The witness explained the equation.","Implausible",1.8,393
"The witness reported the crime.","Plausible",6.4,394
"The witness reported the birth.","Implausible",2.4,394
"The woman carried the bag.","Plausible",6.25,395
"The woman carried the stone.","Implausible",3.1,395
"The woman opened the bag.","Plausible",6.45,396
"The woman opened the manhole.","Implausible",2.4,396
"The woman painted the toenail.","Plausible",6.1,397
"The woman painted the sign.","Implausible",3.55,397
