good_sentence,bad_sentence,suite,good_cond,bad_cond,syntaxgym_id,item_id
The author that the senators liked hurt herself.,The author that the senators liked hurt themselves.,reflexive_orc_fem,match_sing,mismatch_sing,1,204
The pilot that the teachers met injured herself.,The pilot that the teachers met injured themselves.,reflexive_orc_fem,match_sing,mismatch_sing,2,205
The farmers that the clerk discussed injured themselves.,The farmers that the clerk discussed injured herself.,reflexive_orc_fem,match_plural,mismatch_plural,4,206
The senator that the actors discussed injured herself.,The senator that the actors discussed injured themselves.,reflexive_orc_fem,match_sing,mismatch_sing,9,207
The guards that the executive liked injured themselves.,The guards that the executive liked injured herself.,reflexive_orc_fem,match_plural,mismatch_plural,11,208
The clerks that the author met suspected themselves.,The clerks that the author met suspected herself.,reflexive_orc_fem,match_plural,mismatch_plural,12,209
The officers that the actor met disguised themselves.,The officers that the actor met disguised herself.,reflexive_orc_fem,match_plural,mismatch_plural,7,210
The doctors that the guard hated trusted themselves.,The doctors that the guard hated trusted himself.,reflexive_orc_masc,match_plural,mismatch_plural,3,211
The athletes that the doctor discussed disguised themselves.,The athletes that the doctor discussed disguised himself.,reflexive_orc_masc,match_plural,mismatch_plural,14,212
The minister that the managers liked injured himself.,The minister that the managers liked injured themselves.,reflexive_orc_masc,match_sing,mismatch_sing,16,213
The ministers that the manager liked doubted themselves.,The ministers that the manager liked doubted himself.,reflexive_orc_masc,match_plural,mismatch_plural,16,214
The authors that the senator liked hurt themselves.,The authors that the senator liked hurt himself.,reflexive_orc_masc,match_plural,mismatch_plural,1,215
The pilots that the teacher met injured themselves.,The pilots that the teacher met injured himself.,reflexive_orc_masc,match_plural,mismatch_plural,2,216
The executive that the teachers discussed disguised himself.,The executive that the teachers discussed disguised themselves.,reflexive_orc_masc,match_sing,mismatch_sing,19,217
The teachers that the minister hated hated themselves.,The teachers that the minister hated hated himself.,reflexive_orc_masc,match_plural,mismatch_plural,8,218
The author that the senators liked hurt himself.,The author that the senators liked hurt themselves.,reflexive_orc_masc,match_sing,mismatch_sing,1,219
The pilot that the teachers met injured himself.,The pilot that the teachers met injured themselves.,reflexive_orc_masc,match_sing,mismatch_sing,2,220
The farmers that the clerk discussed injured themselves.,The farmers that the clerk discussed injured himself.,reflexive_orc_masc,match_plural,mismatch_plural,4,221
The senator that the actors discussed injured himself.,The senator that the actors discussed injured themselves.,reflexive_orc_masc,match_sing,mismatch_sing,9,222
The guards that the executive liked injured themselves.,The guards that the executive liked injured himself.,reflexive_orc_masc,match_plural,mismatch_plural,11,223
The clerks that the author met trusted themselves.,The clerks that the author met trusted himself.,reflexive_orc_masc,match_plural,mismatch_plural,12,224
The officers that the actor met disguised themselves.,The officers that the actor met disguised himself.,reflexive_orc_masc,match_plural,mismatch_plural,7,225
The doctors in front of the guard trusted themselves.,The doctors in front of the guard trusted herself.,reflexive_prep_fem,match_plural,mismatch_plural,3,226
The athletes behind the doctor doubted themselves.,The athletes behind the doctor doubted herself.,reflexive_prep_fem,match_plural,mismatch_plural,14,227
The minister near the managers injured herself.,The minister near the managers injured themselves.,reflexive_prep_fem,match_sing,mismatch_sing,16,228
The ministers near the manager injured themselves.,The ministers near the manager injured herself.,reflexive_prep_fem,match_plural,mismatch_plural,16,229
The authors next to the senator hurt themselves.,The authors next to the senator hurt herself.,reflexive_prep_fem,match_plural,mismatch_plural,1,230
The pilots behind the teacher injured themselves.,The pilots behind the teacher injured herself.,reflexive_prep_fem,match_plural,mismatch_plural,2,231
The executive next to the teachers disguised herself.,The executive next to the teachers disguised themselves.,reflexive_prep_fem,match_sing,mismatch_sing,19,232
The teachers behind the minister hurt themselves.,The teachers behind the minister hurt herself.,reflexive_prep_fem,match_plural,mismatch_plural,8,233
The author next to the senators hurt herself.,The author next to the senators hurt themselves.,reflexive_prep_fem,match_sing,mismatch_sing,1,234
The pilot behind the teachers injured herself.,The pilot behind the teachers injured themselves.,reflexive_prep_fem,match_sing,mismatch_sing,2,235
The farmers near the clerk embarrassed themselves.,The farmers near the clerk embarrassed herself.,reflexive_prep_fem,match_plural,mismatch_plural,4,236
The senator in front of the actors injured herself.,The senator in front of the actors injured themselves.,reflexive_prep_fem,match_sing,mismatch_sing,9,237
The guards to the side of the executive embarrassed themselves.,The guards to the side of the executive embarrassed herself.,reflexive_prep_fem,match_plural,mismatch_plural,11,238
The clerks across from the author disguised themselves.,The clerks across from the author disguised herself.,reflexive_prep_fem,match_plural,mismatch_plural,12,239
The officers next to the actor doubted themselves.,The officers next to the actor doubted herself.,reflexive_prep_fem,match_plural,mismatch_plural,7,240
The doctors in front of the guard suspected themselves.,The doctors in front of the guard suspected himself.,reflexive_prep_masc,match_plural,mismatch_plural,3,241
The athletes behind the doctor doubted themselves.,The athletes behind the doctor doubted himself.,reflexive_prep_masc,match_plural,mismatch_plural,14,242
The minister near the managers injured himself.,The minister near the managers injured themselves.,reflexive_prep_masc,match_sing,mismatch_sing,16,243
The ministers near the manager injured themselves.,The ministers near the manager injured himself.,reflexive_prep_masc,match_plural,mismatch_plural,16,244
The authors next to the senator hurt themselves.,The authors next to the senator hurt himself.,reflexive_prep_masc,match_plural,mismatch_plural,1,245
The pilots behind the teacher injured themselves.,The pilots behind the teacher injured himself.,reflexive_prep_masc,match_plural,mismatch_plural,2,246
The executive next to the teachers disguised himself.,The executive next to the teachers disguised themselves.,reflexive_prep_masc,match_sing,mismatch_sing,19,247
The teachers behind the minister hurt themselves.,The teachers behind the minister hurt himself.,reflexive_prep_masc,match_plural,mismatch_plural,8,248
The author next to the senators hurt himself.,The author next to the senators hurt themselves.,reflexive_prep_masc,match_sing,mismatch_sing,1,249
The pilot behind the teachers injured himself.,The pilot behind the teachers injured themselves.,reflexive_prep_masc,match_sing,mismatch_sing,2,250
The farmers near the clerk embarrassed themselves.,The farmers near the clerk embarrassed himself.,reflexive_prep_masc,match_plural,mismatch_plural,4,251
The senator in front of the actors injured himself.,The senator in front of the actors injured themselves.,reflexive_prep_masc,match_sing,mismatch_sing,9,252
The guards to the side of the executive embarrassed themselves.,The guards to the side of the executive embarrassed himself.,reflexive_prep_masc,match_plural,mismatch_plural,11,253
The clerks across from the author disguised themselves.,The clerks across from the author disguised himself.,reflexive_prep_masc,match_plural,mismatch_plural,12,254
The officers next to the actor doubted themselves.,The officers next to the actor doubted himself.,reflexive_prep_masc,match_plural,mismatch_plural,7,255
The doctors that hated the guard trusted themselves.,The doctors that hated the guard trusted herself.,reflexive_src_fem,match_plural,mismatch_plural,3,256
The athletes that discussed the doctor disguised themselves.,The athletes that discussed the doctor disguised herself.,reflexive_src_fem,match_plural,mismatch_plural,14,257
The minister that liked the managers injured herself.,The minister that liked the managers injured themselves.,reflexive_src_fem,match_sing,mismatch_sing,16,258
The ministers that liked the manager doubted themselves.,The ministers that liked the manager doubted herself.,reflexive_src_fem,match_plural,mismatch_plural,16,259
The authors that liked the senator hurt themselves.,The authors that liked the senator hurt herself.,reflexive_src_fem,match_plural,mismatch_plural,1,260
The pilots that met the teacher injured themselves.,The pilots that met the teacher injured herself.,reflexive_src_fem,match_plural,mismatch_plural,2,261
The executive that discussed the teachers disguised herself.,The executive that discussed the teachers disguised themselves.,reflexive_src_fem,match_sing,mismatch_sing,19,262
The teachers that hated the minister hated themselves.,The teachers that hated the minister hated herself.,reflexive_src_fem,match_plural,mismatch_plural,8,263
The author that liked the senators hurt herself.,The author that liked the senators hurt themselves.,reflexive_src_fem,match_sing,mismatch_sing,1,264
The pilot that met the teachers injured herself.,The pilot that met the teachers injured themselves.,reflexive_src_fem,match_sing,mismatch_sing,2,265
The farmers that discussed the clerk injured themselves.,The farmers that discussed the clerk injured herself.,reflexive_src_fem,match_plural,mismatch_plural,4,266
The senator that discussed the actors injured herself.,The senator that discussed the actors injured themselves.,reflexive_src_fem,match_sing,mismatch_sing,9,267
The guards that liked the executive injured themselves.,The guards that liked the executive injured herself.,reflexive_src_fem,match_plural,mismatch_plural,11,268
The clerks that met the author trusted themselves.,The clerks that met the author trusted herself.,reflexive_src_fem,match_plural,mismatch_plural,12,269
The officers that met the actor disguised themselves.,The officers that met the actor disguised herself.,reflexive_src_fem,match_plural,mismatch_plural,7,270
The doctors that hated the guard trusted themselves.,The doctors that hated the guard trusted himself.,reflexive_src_masc,match_plural,mismatch_plural,3,271
The athletes that discussed the doctor disguised themselves.,The athletes that discussed the doctor disguised himself.,reflexive_src_masc,match_plural,mismatch_plural,14,272
The minister that liked the managers injured himself.,The minister that liked the managers injured themselves.,reflexive_src_masc,match_sing,mismatch_sing,16,273
The ministers that liked the manager doubted themselves.,The ministers that liked the manager doubted himself.,reflexive_src_masc,match_plural,mismatch_plural,16,274
The authors that liked the senator hurt themselves.,The authors that liked the senator hurt himself.,reflexive_src_masc,match_plural,mismatch_plural,1,275
The pilots that met the teacher injured themselves.,The pilots that met the teacher injured himself.,reflexive_src_masc,match_plural,mismatch_plural,2,276
The executive that discussed the teachers disguised himself.,The executive that discussed the teachers disguised themselves.,reflexive_src_masc,match_sing,mismatch_sing,19,277
The teachers that hated the minister hated themselves.,The teachers that hated the minister hated himself.,reflexive_src_masc,match_plural,mismatch_plural,8,278
The author that liked the senators hurt himself.,The author that liked the senators hurt themselves.,reflexive_src_masc,match_sing,mismatch_sing,1,279
The pilot that met the teachers injured himself.,The pilot that met the teachers injured themselves.,reflexive_src_masc,match_sing,mismatch_sing,2,280
The farmers that discussed the clerk injured themselves.,The farmers that discussed the clerk injured himself.,reflexive_src_masc,match_plural,mismatch_plural,4,281
The senator that discussed the actors injured himself.,The senator that discussed the actors injured themselves.,reflexive_src_masc,match_sing,mismatch_sing,9,282
The guards that liked the executive injured themselves.,The guards that liked the executive injured himself.,reflexive_src_masc,match_plural,mismatch_plural,11,283
The clerks that met the author trusted themselves.,The clerks that met the author trusted himself.,reflexive_src_masc,match_plural,mismatch_plural,12,284
The officers that met the actor disguised themselves.,The officers that met the actor disguised himself.,reflexive_src_masc,match_plural,mismatch_plural,7,285
"While the pianist practiced the music, the conductor stretched his arms.","The pianist practiced the music, the conductor stretched his arms.",subordination,sub_matrix,no-sub_matrix,13,286
"After the man shot the bird, he loaded his gun.","The man shot the bird, he loaded his gun.",subordination,sub_matrix,no-sub_matrix,2,287
"Before the students handed in their papers, they revised them all night long.","The students handed in their papers, they revised them all night long.",subordination,sub_matrix,no-sub_matrix,23,288
The general entered the camp.,When the general entered the camp.,subordination,no-sub_no-matrix,sub_no-matrix,4,289
"Although the students enjoyed the novel, the teacher considered it poorly written.","The students enjoyed the novel, the teacher considered it poorly written.",subordination,sub_matrix,no-sub_matrix,14,290
The scientist broke the computer.,Because the scientist broke the computer.,subordination,no-sub_no-matrix,sub_no-matrix,9,291
"Since the nurse lost her documents, she administered the wrong medicine.","The nurse lost her documents, she administered the wrong medicine.",subordination,sub_matrix,no-sub_matrix,8,292
The politicians passed the new law.,When the politicians passed the new law.,subordination,no-sub_no-matrix,sub_no-matrix,21,293
"When the general entered the camp, the soldiers cheered.","The general entered the camp, the soldiers cheered.",subordination,sub_matrix,no-sub_matrix,4,294
"When the police found new evidence, the judge declared a mistrial.","The police found new evidence, the judge declared a mistrial.",subordination,sub_matrix,no-sub_matrix,22,295
The man shot the bird.,After the man shot the bird.,subordination,no-sub_no-matrix,sub_no-matrix,2,296
"As the doctor studied the book, the nurse walked into the room.","The doctor studied the book, the nurse walked into the room.",subordination,sub_matrix,no-sub_matrix,1,297
"After the diplomat presented the file, the ambassador gave a speech.","The diplomat presented the file, the ambassador gave a speech.",subordination,sub_matrix,no-sub_matrix,17,298
"Because the students did not like the material, they complained to the principal.","The students did not like the material, they complained to the principal.",subordination,sub_matrix,no-sub_matrix,3,299
The students handed in their papers.,Before the students handed in their papers.,subordination,no-sub_no-matrix,sub_no-matrix,23,300
"While the pianist who the critic did not like practiced the music that the composer had written, the conductor stretched his arms.","The pianist who the critic did not like practiced the music that the composer had written, the conductor stretched his arms.",subordination_orc-orc,sub_matrix,no-sub_matrix,13,301
"After the man who a friend had helped shot the bird that he had been tracking secretly, he loaded his gun.","The man who a friend had helped shot the bird that he had been tracking secretly, he loaded his gun.",subordination_orc-orc,sub_matrix,no-sub_matrix,2,302
"Before the students who the committee had praised handed in their papers that the teacher assigned them, they revised them all night long.","The students who the committee had praised handed in their papers that the teacher assigned them, they revised them all night long.",subordination_orc-orc,sub_matrix,no-sub_matrix,23,303
The general who the officer had given a uniform entered the camp that the colonel constructed two years ago.,When the general who the officer had given a uniform entered the camp that the colonel constructed two years ago.,subordination_orc-orc,no-sub_no-matrix,sub_no-matrix,4,304
"Although the students who the principle had disciplined enjoyed the novel that the school administrator had written, the teacher considered it poorly written.","The students who the principle had disciplined enjoyed the novel that the school administrator had written, the teacher considered it poorly written.",subordination_orc-orc,sub_matrix,no-sub_matrix,14,305
The scientist who the contractor had recommended broke the computer that the administrator moved to the basement.,Because the scientist who the contractor had recommended broke the computer that the administrator moved to the basement.,subordination_orc-orc,no-sub_no-matrix,sub_no-matrix,9,306
"Since the nurse who the doctor had met only once lost her documents that she had bought from an expensive store, she administered the wrong medicine.","The nurse who the doctor had met only once lost her documents that she had bought from an expensive store, she administered the wrong medicine.",subordination_orc-orc,sub_matrix,no-sub_matrix,8,307
The politicians who the lobbyists trusted passed the new law that all the shop owners strongly opposed.,When the politicians who the lobbyists trusted passed the new law that all the shop owners strongly opposed.,subordination_orc-orc,no-sub_no-matrix,sub_no-matrix,21,308
"When the general who the officer had given a uniform entered the camp that the colonel constructed two years ago, the soldiers cheered.","The general who the officer had given a uniform entered the camp that the colonel constructed two years ago, the soldiers cheered.",subordination_orc-orc,sub_matrix,no-sub_matrix,4,309
"When the police who the officer had given pistols found new evidence that the suspect had hidden, the judge declared a mistrial.","The police who the officer had given pistols found new evidence that the suspect had hidden, the judge declared a mistrial.",subordination_orc-orc,sub_matrix,no-sub_matrix,22,310
The man who a friend had helped shot the bird that he had been tracking secretly.,After the man who a friend had helped shot the bird that he had been tracking secretly.,subordination_orc-orc,no-sub_no-matrix,sub_no-matrix,2,311
"As the doctor who the administrator had recently hired studied the book that colleagues had written on cancer therapy, the nurse walked into the room.","The doctor who the administrator had recently hired studied the book that colleagues had written on cancer therapy, the nurse walked into the room.",subordination_orc-orc,sub_matrix,no-sub_matrix,1,312
"After the diplomat who the spy had contacted repeatedly presented the file that the assistant had written, the ambassador gave a speech.","The diplomat who the spy had contacted repeatedly presented the file that the assistant had written, the ambassador gave a speech.",subordination_orc-orc,sub_matrix,no-sub_matrix,17,313
"Because the students who the teacher had in her class did not like the material that the teacher used to cover evolution, they complained to the principal.","The students who the teacher had in her class did not like the material that the teacher used to cover evolution, they complained to the principal.",subordination_orc-orc,sub_matrix,no-sub_matrix,3,314
The students who the committee had praised handed in their papers that the teacher assigned them.,Before the students who the committee had praised handed in their papers that the teacher assigned them.,subordination_orc-orc,no-sub_no-matrix,sub_no-matrix,23,315
"While the pianist with the long fingers practiced the music with a difficult time signature, the conductor stretched his arms.","The pianist with the long fingers practiced the music with a difficult time signature, the conductor stretched his arms.",subordination_pp-pp,sub_matrix,no-sub_matrix,13,316
"After the man with a very expensive gun shot the bird on the run for its life, he loaded his gun.","The man with a very expensive gun shot the bird on the run for its life, he loaded his gun.",subordination_pp-pp,sub_matrix,no-sub_matrix,2,317
"Before the students from foreign countries in Europe handed in their papers on the modern art world, they revised them all night long.","The students from foreign countries in Europe handed in their papers on the modern art world, they revised them all night long.",subordination_pp-pp,sub_matrix,no-sub_matrix,23,318
The general in the green uniform and black shoes entered the camp in the middle of the busy camp.,When the general in the green uniform and black shoes entered the camp in the middle of the busy camp.,subordination_pp-pp,no-sub_no-matrix,sub_no-matrix,4,319
"Although the students in the third year class enjoyed the novel about life during the civil war, the teacher considered it poorly written.","The students in the third year class enjoyed the novel about life during the civil war, the teacher considered it poorly written.",subordination_pp-pp,sub_matrix,no-sub_matrix,14,320
The scientist in blue pants and gloves broke the computer in the basement of the office building.,Because the scientist in blue pants and gloves broke the computer in the basement of the office building.,subordination_pp-pp,no-sub_no-matrix,sub_no-matrix,9,321
"Since the nurse from the neighboring hospital down the street lost her documents from the expensive jewelry store down the street, she administered the wrong medicine.","The nurse from the neighboring hospital down the street lost her documents from the expensive jewelry store down the street, she administered the wrong medicine.",subordination_pp-pp,sub_matrix,no-sub_matrix,8,322
The politicians with white hair expensive suits passed the new law on tax reform and student debt.,When the politicians with white hair expensive suits passed the new law on tax reform and student debt.,subordination_pp-pp,no-sub_no-matrix,sub_no-matrix,21,323
"When the general in the green uniform and black shoes entered the camp in the middle of the busy camp, the soldiers cheered.","The general in the green uniform and black shoes entered the camp in the middle of the busy camp, the soldiers cheered.",subordination_pp-pp,sub_matrix,no-sub_matrix,4,324
"When the police from the small town in Alabama found new evidence about the alleged art theft, the judge declared a mistrial.","The police from the small town in Alabama found new evidence about the alleged art theft, the judge declared a mistrial.",subordination_pp-pp,sub_matrix,no-sub_matrix,22,325
The man with a very expensive gun shot the bird on the run for its life.,After the man with a very expensive gun shot the bird on the run for its life.,subordination_pp-pp,no-sub_no-matrix,sub_no-matrix,2,326
"As the doctor in a long white lab jacket studied the book about several recent advances in cancer therapy, the nurse walked into the room.","The doctor in a long white lab jacket studied the book about several recent advances in cancer therapy, the nurse walked into the room.",subordination_pp-pp,sub_matrix,no-sub_matrix,1,327
"After the diplomat from the friendly country in Africa presented the file on international peace and cooperation, the ambassador gave a speech.","The diplomat from the friendly country in Africa presented the file on international peace and cooperation, the ambassador gave a speech.",subordination_pp-pp,sub_matrix,no-sub_matrix,17,328
"Because the students in the teacher 's third grade class did not like the material on the evolution of the human skeleton, they complained to the principal.","The students in the teacher 's third grade class did not like the material on the evolution of the human skeleton, they complained to the principal.",subordination_pp-pp,sub_matrix,no-sub_matrix,3,329
The students from foreign countries in Europe handed in their papers on the modern art world.,Before the students from foreign countries in Europe handed in their papers on the modern art world.,subordination_pp-pp,no-sub_no-matrix,sub_no-matrix,23,330
"While the pianist who had long fingers practiced the music that was written long ago, the conductor stretched his arms.","The pianist who had long fingers practiced the music that was written long ago, the conductor stretched his arms.",subordination_src-src,sub_matrix,no-sub_matrix,13,331
"After the man who was carrying a gun shot the bird that was running away from him, he loaded his gun.","The man who was carrying a gun shot the bird that was running away from him, he loaded his gun.",subordination_src-src,sub_matrix,no-sub_matrix,2,332
"Before the students who were from foreign countries handed in their papers that were about modern art, they revised them all night long.","The students who were from foreign countries handed in their papers that were about modern art, they revised them all night long.",subordination_src-src,sub_matrix,no-sub_matrix,23,333
The general who wore a green uniform every day entered the camp that stood in the middle of camp.,When the general who wore a green uniform every day entered the camp that stood in the middle of camp.,subordination_src-src,no-sub_no-matrix,sub_no-matrix,4,334
"Although the students who were in seventh grade enjoyed the novel that was about the civil war, the teacher considered it poorly written.","The students who were in seventh grade enjoyed the novel that was about the civil war, the teacher considered it poorly written.",subordination_src-src,sub_matrix,no-sub_matrix,14,335
The scientist who was wearing blue pants broke the computer that was housed on the top floor.,Because the scientist who was wearing blue pants broke the computer that was housed on the top floor.,subordination_src-src,no-sub_no-matrix,sub_no-matrix,9,336
"Since the nurse who were from the neighboring research hospital lost her documents that were purchased from the expensive jewelry store, she administered the wrong medicine.","The nurse who were from the neighboring research hospital lost her documents that were purchased from the expensive jewelry store, she administered the wrong medicine.",subordination_src-src,sub_matrix,no-sub_matrix,8,337
The politicians who wore dark suits passed the new law that raised taxes on businesses and corporations.,When the politicians who wore dark suits passed the new law that raised taxes on businesses and corporations.,subordination_src-src,no-sub_no-matrix,sub_no-matrix,21,338
"When the general who wore a green uniform every day entered the camp that stood in the middle of camp, the soldiers cheered.","The general who wore a green uniform every day entered the camp that stood in the middle of camp, the soldiers cheered.",subordination_src-src,sub_matrix,no-sub_matrix,4,339
"When the police who carried pistols on their belts found new evidence that was relevant to the murder, the judge declared a mistrial.","The police who carried pistols on their belts found new evidence that was relevant to the murder, the judge declared a mistrial.",subordination_src-src,sub_matrix,no-sub_matrix,22,340
The man who was carrying a gun shot the bird that was running away from him.,After the man who was carrying a gun shot the bird that was running away from him.,subordination_src-src,no-sub_no-matrix,sub_no-matrix,2,341
"As the doctor who wore a white lab jacket studied the book that described several advances in cancer therapy, the nurse walked into the room.","The doctor who wore a white lab jacket studied the book that described several advances in cancer therapy, the nurse walked into the room.",subordination_src-src,sub_matrix,no-sub_matrix,1,342
"After the diplomat who was from the friendly country presented the file that expressed hope for cooperation, the ambassador gave a speech.","The diplomat who was from the friendly country presented the file that expressed hope for cooperation, the ambassador gave a speech.",subordination_src-src,sub_matrix,no-sub_matrix,17,343
"Because the students who were in the teacher 's class did not like the material that covered the evolution of the human skeleton, they complained to the principal.","The students who were in the teacher 's class did not like the material that covered the evolution of the human skeleton, they complained to the principal.",subordination_src-src,sub_matrix,no-sub_matrix,3,344
The students who were from foreign countries handed in their papers that were about modern art.,Before the students who were from foreign countries handed in their papers that were about modern art.,subordination_src-src,no-sub_no-matrix,sub_no-matrix,23,345
